time_worker_0,idle_time_0,heavy_0,time_worker_1,idle_time_1,heavy_1,time_worker_2,idle_time_2,heavy_2,time_worker_3,idle_time_3,heavy_3,total_chunk_time,total_idle,total_heavy
0.0028341,2.2100052e-05,43,0.0028324,2.3800181e-05,41,0.0028363,1.9900035e-05,41,0.0028356,2.0600157e-05,42,0.0028562,8.6400425e-05,167
0.0029804,9.59984e-06,45,0.002976,1.3999874e-05,43,0.0029797,1.0299962e-05,43,0.0029792,1.0799849e-05,36,0.00299,4.4699525e-05,167
0.0028538,2.5199959e-05,42,0.002851,2.799998e-05,41,0.0028546,2.4399953e-05,43,0.002852,2.6999973e-05,41,0.002879,0.000104599865,167
0.0028442,1.479988e-05,42,0.0028425,1.6499776e-05,42,0.002842,1.6999897e-05,42,0.0028433,1.569977e-05,41,0.002859,6.399932e-05,167
0.0028854,2.089981e-05,42,0.0028862,2.0099804e-05,42,0.0028844,2.1899818e-05,41,0.002883,2.3299828e-05,42,0.0029063,8.619926e-05,167
0.0028236,1.6999897e-05,43,0.0028196,2.0999927e-05,41,0.0028215,1.9100029e-05,41,0.0028202,2.0399923e-05,42,0.0028406,7.7499775e-05,167
0.0028543,1.999992e-05,44,0.0028584,1.5899772e-05,42,0.0028595,1.479988e-05,42,0.0028591,1.5199883e-05,39,0.0028743,6.5899454e-05,167
0.0028568,1.9199913e-05,42,0.0028567,1.930003e-05,42,0.0028536,2.2399938e-05,41,0.0028586,1.73999e-05,42,0.002876,7.829978e-05,167
0.0028812,3.3699907e-05,41,0.002882,3.28999e-05,43,0.0028812,3.3699907e-05,41,0.0028858,2.9099872e-05,42,0.0029149,0.00012939959,167
0.0028973,2.279994e-05,42,0.0028959,2.4199951e-05,41,0.0028973,2.279994e-05,42,0.0029,2.0100037e-05,42,0.0029201,8.989987e-05,167
0.0028684,2.3199944e-05,42,0.0028699,2.1699816e-05,42,0.0028687,2.2899825e-05,42,0.0028656,2.5999965e-05,41,0.0028916,9.379955e-05,167
0.0029238,2.050004e-05,42,0.002925,1.930003e-05,42,0.0029231,2.1199929e-05,41,0.0029251,1.9199913e-05,42,0.0029443,8.019991e-05,167
0.0028762,2.2199936e-05,42,0.0028768,2.1599932e-05,42,0.0028751,2.3300061e-05,42,0.0028762,2.2199936e-05,41,0.0028984,8.9299865e-05,167
0.0028698,2.1999935e-05,42,0.0028661,2.5699846e-05,42,0.0028668,2.4999958e-05,42,0.0028697,2.2099819e-05,41,0.0028918,9.479956e-05,167
0.0028972,2.1300046e-05,42,0.0028966,2.190005e-05,41,0.0028945,2.399995e-05,42,0.0028941,2.4399953e-05,42,0.0029185,9.16e-05,167
0.0028606,1.980015e-05,42,0.0028627,1.7700018e-05,42,0.0028609,1.9500032e-05,42,0.00286,2.0400155e-05,41,0.0028804,7.740036e-05,167
0.0028691,2.6499853e-05,42,0.0028732,2.2399938e-05,42,0.0028718,2.3799948e-05,42,0.0028714,2.4199951e-05,41,0.0028956,9.689969e-05,167
0.0029271,2.0100037e-05,42,0.0029245,2.2700056e-05,41,0.002923,2.4200184e-05,42,0.0029246,2.2600172e-05,42,0.0029472,8.960045e-05,167
0.0028882,2.5499845e-05,42,0.0028878,2.5899848e-05,42,0.0028886,2.5099842e-05,42,0.0028868,2.6899856e-05,41,0.0029137,0.00010339939,167
0.0029088,2.4399953e-05,42,0.0029103,2.2900058e-05,42,0.0029125,2.0700041e-05,41,0.0029111,2.2100052e-05,42,0.0029332,9.0100104e-05,167
0.0028869,1.7700018e-05,42,0.0028886,1.5999889e-05,42,0.0028878,1.6799895e-05,41,0.00289,1.4600111e-05,42,0.0029046,6.509991e-05,167
0.0028676,1.3699988e-05,42,0.002866,1.53e-05,42,0.00287,1.129997e-05,42,0.002866,1.53e-05,41,0.0028813,5.5599958e-05,167
0.0028927,7.4999407e-06,42,0.002889,1.1199852e-05,42,0.0028932,7.0000533e-06,42,0.0028905,9.699957e-06,41,0.0029002,3.5399804e-05,167
0.0028279,1.619989e-05,42,0.002827,1.7099781e-05,41,0.002831,1.3099983e-05,41,0.0028283,1.5799887e-05,43,0.0028441,6.219954e-05,167
0.002802,9.500189e-06,42,0.0027997,1.180009e-05,41,0.0028026,8.900184e-06,42,0.0028038,7.700175e-06,42,0.0028115,3.7900638e-05,167
0.0027722,1.8700026e-05,43,0.002775,1.5900005e-05,41,0.0027748,1.6100006e-05,41,0.002774,1.6900012e-05,42,0.0027909,6.760005e-05,167
0.0027483,9.899959e-06,42,0.0027495,8.69995e-06,41,0.0027519,6.2999316e-06,42,0.0027475,1.0699965e-05,42,0.0027582,3.5599805e-05,167
0.0027122,1.3099983e-05,42,0.0027118,1.3499986e-05,41,0.0027109,1.4399877e-05,41,0.0027103,1.4999881e-05,43,0.0027253,5.5999728e-05,167
0.0027385,1.5999889e-05,42,0.0027408,1.3699988e-05,42,0.0027408,1.3699988e-05,42,0.0027408,1.3699988e-05,41,0.0027545,5.7099853e-05,167
