time_worker_0,idle_time_0,heavy_0,time_worker_1,idle_time_1,heavy_1,time_worker_2,idle_time_2,heavy_2,time_worker_3,idle_time_3,heavy_3,total_chunk_time,total_idle,total_heavy
0.0143663,0.0040017003,96,0.0150398,0.0033282004,104,0.0148158,0.0035522003,109,0.0149311,0.0034368997,92,0.018368,0.014319001,401
0.012743,0.0029390007,94,0.0130128,0.0026692003,111,0.0128663,0.002815701,103,0.0131103,0.002571701,106,0.015682,0.010995603,414
0.0126363,0.0042854995,108,0.0121173,0.0048044994,92,0.0130531,0.0038687,102,0.0126246,0.0042971997,105,0.0169218,0.017255899,407
0.0128927,0.0048943004,97,0.0133763,0.0044107,103,0.0130408,0.0047462005,101,0.0128845,0.0049024997,92,0.017787,0.0189537,393
0.013331,0.003470201,102,0.0132765,0.003524701,120,0.0131596,0.0036416007,115,0.0125481,0.0042531006,92,0.0168012,0.0148896035,429
0.0120947,0.0039318996,79,0.0131394,0.0028871996,112,0.0117362,0.004290399,79,0.0125531,0.0034734998,101,0.0160266,0.014582998,371
0.0131375,0.0036383,91,0.0129012,0.0038746,102,0.0123907,0.0043850997,84,0.0133292,0.0034465995,104,0.0167758,0.015344599,381
0.0135503,0.0028837007,104,0.0122203,0.004213701,89,0.0131266,0.0033074012,112,0.0133058,0.0031282008,106,0.016434,0.013533004,411
0.0141914,0.0019552,124,0.0128634,0.0032831999,103,0.0130984,0.0030482002,110,0.0133821,0.0027645007,104,0.0161466,0.011051101,441
0.012857,0.004484999,90,0.0128863,0.0044556996,101,0.0130315,0.004310499,98,0.0122828,0.0050591994,85,0.017342,0.018310398,374
0.0125254,0.0044946,105,0.0122383,0.0047816997,94,0.0125056,0.0045144,86,0.0130665,0.0039534997,113,0.01702,0.017744198,398
0.016179,0.0014115013,106,0.0119521,0.0056384,92,0.0127044,0.0048861,106,0.0126599,0.0049306005,100,0.0175905,0.016866602,404
0.0130499,0.0038550003,116,0.012233,0.0046718996,84,0.0132957,0.0036092,114,0.0122099,0.004695,89,0.0169049,0.0168311,403
0.0128418,0.0036625993,115,0.011949,0.0045553995,89,0.0120474,0.0044569997,98,0.0124451,0.0040593,103,0.0165044,0.016734298,405
0.01286,0.0041745007,103,0.0134128,0.0036217012,109,0.0123198,0.0047147004,95,0.0133195,0.003715001,101,0.0170345,0.016225904,408
0.0120216,0.0036776,80,0.0137681,0.0019311002,118,0.0125935,0.0031057,93,0.0129341,0.0027651004,96,0.0156992,0.011479501,387
0.0131105,0.0037669,108,0.0123493,0.0045280997,88,0.0127986,0.0040788,102,0.0123335,0.0045438996,98,0.0168774,0.016917698,396
0.0130942,0.0035094004,99,0.0135979,0.0030057002,96,0.0124632,0.0041404003,92,0.0133499,0.0032537002,94,0.0166036,0.013909201,381
0.0129759,0.0038381005,83,0.0127872,0.0040268013,92,0.0127842,0.004029801,88,0.0131481,0.0036659008,112,0.016814,0.015560604,375
0.012578,0.0041753994,105,0.0128375,0.0039158994,105,0.0128199,0.0039334996,102,0.0127439,0.0040095,99,0.0167534,0.016034298,411
0.0136474,0.0032205004,105,0.0130934,0.0037745005,102,0.0133403,0.0035276003,105,0.012454,0.0044139,92,0.0168679,0.014936501,404
0.0128302,0.003819501,89,0.0121921,0.0044576004,90,0.0123841,0.004265601,87,0.0126195,0.0040302007,94,0.0166497,0.016572904,360
0.0134063,0.0026039006,108,0.0143901,0.0016201008,105,0.0134251,0.002585101,103,0.0126178,0.0033924002,88,0.0160102,0.010201503,404
0.0129968,0.0029415004,99,0.012096,0.0038423007,85,0.0143867,0.0015516011,93,0.0133338,0.0026045004,98,0.0159383,0.010939903,375
0.0129334,0.005366099,88,0.0135025,0.0047969995,95,0.0136662,0.004633299,108,0.0132023,0.005097199,91,0.0182995,0.019893598,382
0.013755,0.0028109,92,0.0128591,0.0037068008,109,0.0129939,0.0035720002,118,0.0123995,0.0041664,100,0.0165659,0.014256101,419
0.0122791,0.0039995005,98,0.0126537,0.0036249002,100,0.0129868,0.0032918006,113,0.0125712,0.0037074005,93,0.0162786,0.014623602,404
0.0123462,0.0040458003,98,0.0125671,0.0038249,109,0.0123681,0.0040239003,98,0.0118622,0.0045298003,85,0.016392,0.0164244,390
0.0127241,0.0050687008,99,0.0128753,0.0049175005,104,0.0128291,0.0049637007,105,0.0134986,0.004294201,104,0.0177928,0.019244103,412
0.0127509,0.0032226993,101,0.0127196,0.0032539992,100,0.0120417,0.0039318996,96,0.0121826,0.0037909998,97,0.0159736,0.014199598,394
0.0124133,0.0026775002,92,0.0136352,0.0014555994,116,0.0125041,0.0025867,97,0.0122924,0.0027984,82,0.0150908,0.0095182,387
0.0134472,0.004948401,93,0.013381,0.005014601,100,0.0136053,0.0047903005,100,0.0136454,0.0047502005,96,0.0183956,0.019503504,389
0.0135216,0.004627201,96,0.0132938,0.0048550004,94,0.0137074,0.0044414,96,0.0133651,0.0047837,100,0.0181488,0.018707301,386
0.0129033,0.0036464008,96,0.0121139,0.004435801,88,0.0125338,0.004015901,89,0.0133013,0.003248401,109,0.0165497,0.015346504,382
0.0126216,0.0035896003,92,0.0123922,0.003819001,89,0.0122017,0.0040095,89,0.0131227,0.0030885004,108,0.0162112,0.014506602,378
0.0126678,0.0045383004,108,0.0120141,0.0051920004,90,0.0121646,0.0050415006,98,0.0124537,0.0047524003,111,0.0172061,0.019524202,407
0.0129126,0.0036835996,96,0.0122197,0.0043765,95,0.0124791,0.0041170996,94,0.0127004,0.0038957996,98,0.0165962,0.016073,383
0.0128216,0.0014872001,105,0.0129538,0.0013549998,104,0.0121307,0.0021781,89,0.0130922,0.0012165997,110,0.0143088,0.0062368996,408
0.0140976,0.0045789005,90,0.0138952,0.004781301,96,0.0145299,0.004146601,91,0.0135497,0.0051268004,89,0.0186765,0.018633604,366
0.0141771,0.0042296005,111,0.0134308,0.0049759,108,0.013355,0.0050517004,108,0.0134576,0.0049491003,94,0.0184067,0.0192063,421
